Cell,Capacity[Ah],Ri[Ohm],C_rate[1/h],C_rate_rounded[1/h],I0[A]
MGFarm_18650_C01,1.783813730555579,0.04407759435273188,-1.008569431428056,-1.0,-1.7991
MGFarm_18650_C03,1.8084844944444443,0.04413317769996117,-0.99481085158691,-1.0,-1.7991
MGFarm_18650_C05,1.799137955555556,0.045467178033461106,-0.9999789034768352,-1.0,-1.7991
MGFarm_18650_C07,1.7900751944444564,0.047344174945884526,-1.0064940319778866,-1.0,-1.8017
MGFarm_18650_C09,1.794192913888895,0.03362820056899004,-2.507645618913983,-2.5,-4.4992
MGFarm_18650_C11,1.8170390944444448,0.033553318667644334,-2.4767216147190028,-2.5,-4.5003
MGFarm_18650_C13,1.8031019027777826,0.03071657183499286,-2.4952555332944426,-2.5,-4.4992
MGFarm_18650_C15,1.7807611944444672,0.030457304195104604,-2.525942284699911,-2.5,-4.4981
MGFarm_18650_C17,1.7978319277777723,0.02983937527776024,-1.7522216350300528,-1.75,-3.1502
MGFarm_18650_C19,1.8027848611111108,0.027556430362868728,-1.747241208836545,-1.75,-3.1499
MGFarm_18650_C21,1.8049009166666548,0.03041076757031303,-1.745358967304357,-1.75,-3.1502
MGFarm_18650_C23,1.8058384166666732,0.026474509554948795,-1.7444528651765152,-1.75,-3.1502
MGFarm_18650_C25,1.788689533333332,0.026953236610686115,-1.761009913291084,-1.75,-3.1499
MGFarm_18650_C27,1.8108208666666723,0.04830643328029096,-0.48585700341498744,-0.5,-0.8797999999999999
MGFarm_18650_C29,1.788689533333332,0.026953236610686115,-1.761009913291084,-1.75,-3.1499
