Epoch,Train_RMSE,Train_MAE,Avg_Val_RMSE,Avg_Val_MAE,MGFarm_18650_C07_RMSE,MGFarm_18650_C07_MAE,MGFarm_18650_C19_RMSE,MGFarm_18650_C19_MAE,MGFarm_18650_C21_RMSE,MGFarm_18650_C21_MAE
1,0.059831,0.032670,0.142510,0.129135,0.140530,0.129792,0.175708,0.163509,0.111292,0.094104
2,0.039309,0.021546,0.177186,0.160392,0.180277,0.166604,0.200000,0.182288,0.151282,0.132284
3,0.036972,0.021020,0.169524,0.154405,0.169198,0.157942,0.204970,0.190020,0.134404,0.115252
4,0.042142,0.019675,0.170528,0.156062,0.171027,0.159788,0.201168,0.186640,0.139388,0.121758
5,0.041111,0.019606,0.178504,0.163309,0.179575,0.167837,0.208803,0.192394,0.147132,0.129697
6,0.041616,0.019394,0.163961,0.149920,0.163543,0.152687,0.196053,0.182827,0.132285,0.114245
7,0.046829,0.019790,0.178290,0.163180,0.178888,0.167427,0.210504,0.194863,0.145478,0.127250
8,0.051122,0.020344,0.178462,0.162746,0.179077,0.167275,0.211691,0.195321,0.144619,0.125643
9,0.049698,0.020368,0.175097,0.159657,0.175017,0.163474,0.209145,0.193032,0.141130,0.122465
10,0.049139,0.020934,0.168337,0.153886,0.166529,0.155894,0.205524,0.190521,0.132960,0.115244
11,0.051100,0.021341,0.166467,0.152178,0.164384,0.153873,0.203669,0.188546,0.131350,0.114116
12,0.052109,0.023391,0.166281,0.152268,0.165194,0.154666,0.200948,0.187228,0.132701,0.114910
13,0.046688,0.019849,0.162951,0.149172,0.161524,0.151284,0.198018,0.184148,0.129312,0.112082
14,0.046626,0.020528,0.160474,0.147259,0.158855,0.148936,0.194785,0.181187,0.127783,0.111654
15,0.048069,0.020967,0.163248,0.147972,0.162709,0.151205,0.197409,0.182448,0.129626,0.110264
16,0.048295,0.020256,0.163960,0.148869,0.163491,0.152120,0.198216,0.183170,0.130172,0.111315
17,0.052313,0.024446,0.160226,0.144609,0.160115,0.148223,0.192587,0.177507,0.127976,0.108096
18,0.049072,0.020977,0.161457,0.145450,0.161591,0.149631,0.194899,0.179355,0.127880,0.107364
19,0.048415,0.020484,0.163775,0.147643,0.164059,0.152014,0.197456,0.181526,0.129810,0.109391
20,0.049655,0.020907,0.164921,0.148878,0.165291,0.153309,0.198458,0.182666,0.131014,0.110657
21,0.050746,0.021584,0.163020,0.147066,0.163363,0.151248,0.195132,0.179705,0.130564,0.110245
22,0.050688,0.020820,0.163264,0.147163,0.163377,0.151344,0.196967,0.181127,0.129449,0.109019
23,0.051560,0.020908,0.165828,0.149577,0.165722,0.153753,0.201220,0.185037,0.130541,0.109941
24,0.052341,0.021040,0.164688,0.148598,0.164417,0.152499,0.199461,0.183406,0.130186,0.109890
25,0.053054,0.021450,0.163075,0.147090,0.162436,0.150604,0.198181,0.182065,0.128609,0.108601
26,0.056536,0.024134,0.155055,0.139577,0.153421,0.141919,0.189801,0.173986,0.121945,0.102825
27,0.053529,0.022965,0.148024,0.133102,0.146287,0.134862,0.181056,0.166682,0.116729,0.097761
28,0.053336,0.022784,0.144415,0.129905,0.142371,0.131202,0.177182,0.163531,0.113692,0.094981
29,0.053055,0.022716,0.144717,0.130271,0.142667,0.131444,0.177025,0.163849,0.114457,0.095521
