epoch,train_rmse,val_rmse
1,0.06043991828352326,0.2529846024227664
2,0.04819714433929253,0.1673786505829407
3,0.0398660597428658,0.1798322381866472
4,0.0406291160215869,0.15223524973469882
5,0.03819330586326103,0.22159482229785302
6,0.06551088700592095,0.2623694621898107
7,0.06223681792984572,0.2307126862821356
8,0.04208306661964901,0.2328769830484513
9,0.11160583952753411,0.12150976147766764
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
21,nan,nan
22,nan,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan

test_mae,test_rmse
0.16572983513377337,0.1870215022860414
