trial_number,hidden_size,num_layers,dropout,lr,weight_decay,seq_length,batch_size,epochs,mean_mse
0,16,1,0.04210776426510526,0.00014407986465418842,0.0001542640068974185,60,64,6,0.0860429539092581
1,64,2,0.027936800794793715,0.003647453935340226,4.464875666304638e-05,60,32,7,0.014239541732574752
2,128,2,0.18514252576968054,0.0021454306104657845,3.42664108555651e-06,120,64,10,0.01649279807806316
3,128,3,0.2793126913959685,0.0011346245414276016,5.39515151261203e-05,120,64,10,0.0223052935903236
4,32,2,0.44200859004154386,0.0012230732163726649,6.435226047089794e-06,30,32,6,0.021909303183501552
5,32,1,0.4241595880155389,0.0004005837335037,1.5537384401617298e-05,30,32,8,0.025192829600856285
6,64,2,0.02123924024386875,0.00017186767284782653,4.611187849624452e-06,60,16,9,0.009937594287350216
7,128,3,0.031871138026858925,0.0002261536716965917,2.8826265262314743e-05,60,16,9,0.008459364481789565
8,32,3,0.37085577418588933,0.001922532441314965,8.892719470297138e-05,30,16,7,0.02140744954074018
9,16,1,0.284030093836895,0.005015195369562774,1.0292890051875169e-06,30,16,8,0.014253317493726316
10,128,3,0.14561444562560238,0.00039320009616985996,0.00044398165581964184,60,16,5,0.022907263647377923
11,64,2,0.10874499316090296,0.00010600156810152439,1.0189104793333165e-05,60,16,9,0.012201930845757276
12,64,3,0.008069329420364584,0.00029772253387839624,2.0332866517027172e-06,60,16,9,0.008993812792696152
13,128,3,0.09079561659624616,0.0003765649986478789,1.2238427573757676e-06,60,16,9,0.016071491362777083
14,64,3,0.20712622933294844,0.00024840345919132793,0.0007458834339879742,60,16,9,0.023632267776162567
0,128,1,0.05512322046456031,0.0013789252608308762,6.578280304241413e-06,120,32,9,4.728834663615549e-06
1,32,3,0.28323193379936445,0.00038895641355450995,0.00021411061303788122,30,16,9,4.062375057986998e-05
2,16,1,0.19620095082573702,0.00022688347333654722,3.8866881013807755e-05,60,32,8,3.288362630052312e-06
3,16,1,0.17477797132262007,0.0028531525443507475,0.0008633367040016633,30,64,5,2.86394035926273e-05
4,16,3,0.4163996868424389,0.00020190611964271375,0.00047520014018788734,120,32,7,8.61137253093137e-05
5,128,1,0.22776122105078528,0.002856725615404773,2.6102500479710797e-05,30,32,6,1.196107599261683e-05
6,128,3,0.44498387079306106,0.008396675596687175,9.515962826128043e-06,120,16,8,0.018537749218430693
7,128,1,0.22980089945485893,0.00011879871157573399,4.544461147750058e-05,120,16,5,1.820513275624871e-06
8,32,3,0.07994860271396126,0.0004570376649311278,0.0006022773338627556,30,32,8,7.5719320036296e-05
9,128,1,0.480569179001805,0.003477542067541085,2.688964403935946e-05,60,16,6,4.7080390250291483e-05
10,64,2,0.3275668837740114,0.00014520458937532604,1.8270198150286304e-06,120,64,5,3.2065614644454845e-05
11,16,2,0.15242965047355056,0.00010601381756443724,0.00011331777453637158,60,16,10,9.853722544400237e-06
12,64,2,0.33113653542873456,0.00029625932390499495,8.104789446084938e-05,60,32,7,1.9171148491815062e-05
13,16,1,0.16034142349164182,0.0007313794554001486,4.985865868236133e-05,60,16,6,3.1926466946716047e-06
14,128,1,0.11870860420669077,0.0008110315913147425,1.0556087990092926e-05,120,16,6,8.737874460915692e-07
